label,inferred_smarts,llm_output
S=C([N]([R])[R])[N]([R])CN=C[O][R],S=C(N(*)*)N(*)CN=CO*,alkoxy imino methyl thiourea
N#C[N]([R])CN([C](=O)[R])[S](=O)(=O)[R],N#CN(*)CN(C(=O)*)S(=O)(=O)*,n cyano n alkyl amidosulfonamide
C=C(C(=O)O)N1C(=O)C([O][R])([N]([R])C(=O)C2SC(=C(C(=O)O)C(=O)[N]([R])[R])S2)C1[S][R],C=C(C(=O)O)N1C(=O)C(O*)(N(*)C(=O)C2SC(=C(C(=O)O)C(=O)N(*)*)S2)C1S*,cephalosporanic acid core
O=C([O][R])OCSP(=O)([O][R])[O][R],O=C(O*)OCSP(=O)(O*)O*,carbonate sulfanylmethyl phosphate
O=[S](=O)([R])N=[S]([R])[O][R],O=S(=O)(*)N=S(*)O*,sulfonimidate ester
C=CC(=O)C1CO1,C=CC(=O)C1CO1,vinyl epoxy ketone
O=[C]([R])C(=CC=C[N]([R])[R])C(=O)[O][R],O=C(*)C(=CC=CN(*)*)C(=O)O*,"1,3-dicarbonyl dienamine"
O=C(C=[CH][Nar])[O][R],O=C(C=[C&H1]n)O*,heterocyclic enol carboxylate ester
C=CC=C(C(=O)[O][R])C(=O)[O][R],C=CC=C(C(=O)O*)C(=O)O*,butadienylidene malonate
O=C([O][R])C(=CC=C[N]([R])[R])C(=O)[O][R],O=C(O*)C(=CC=CN(*)*)C(=O)O*,dienaminylidene malonate
O=[C]([R])C=C(C(=O)[O][R])C(=O)[O][R],O=C(*)C=C(C(=O)O*)C(=O)O*,citraconate esters
O=C(C=C[N]([R])C(=O)[N]([R])[C](=O)[R])[O][R],O=C(C=CN(*)C(=O)N(*)C(=O)*)O*,beta peptidoamino acrylate ester
N#CC(=CC(=O)[O][R])[N]([R])C=CC(=O)[O][R],N#CC(=CC(=O)O*)N(*)C=CC(=O)O*,n-alkyl amino cyanoacrylate acrylate
O=C([O][R])C1=C(C(=O)[O][R])[N]([R])CO1,O=C(O*)C1=C(C(=O)O*)N(*)CO1,oxazole dicarboxylate
O=C(C=NN(CO)[C](=O)[R])[O][R],O=C(C=NN(CO)C(=O)*)O*,activated hydrazone ester
O=[C]([R])C=CC1=CC(=C[C](=O)[R])OCO1,O=C(*)C=CC1=CC(=CC(=O)*)OCO1,benzodioxin dienone
O=[N+]([OH+126])[O][R],O=[N&+]([O&H1&+126])O*,nitrate ester
[R][N]([R])[CH]=[Car],*N(*)[C&H1]=c,aromatic enamine
C=C1SC([N]([R])[C](=O)[R])=NC1=O,C=C1SC(N(*)C(=O)*)=NC1=O,2-acylamino-4-oxo-thiazol-5-ylidene
[O-][N+](O)([R])[R],[O&-][N&+](O)(*)*,nitro
C=CC(=O)[N]([R])S(=O)(=O)[N]([R])[R],C=CC(=O)N(*)S(=O)(=O)N(*)*,acrylamide sulfonylurea
O=[C]([R])C=CC=N[O][R],O=C(*)C=CC=NO*,enone oxime
ON=C1C=CC(=NO)C([O][R])=C1,ON=C1C=CC(=NO)C(O*)=C1,hydroxy furoxan
O=C([O][R])[N]1[R][C](=O)N1C(=O)[O][R],O=C(O*)N1*C(=O)N1C(=O)O*,"3-oxodiazetidine-1,2-dicarboxylic"
O=C1[O][R][C](=O)C1=CO,O=C1O*C(=O)C1=CO,maleimide derivative with exocyclic enol
O=[C]([R])[N]([R])C(=S)[N]([R])[N]([R])C(=O)[O][R],O=C(*)N(*)C(=S)N(*)N(*)C(=O)O*,carbamothioyl hydrazine carbamate
O=C([O][R])[N]([R])[N]([R])[S](=O)(=O)[R],O=C(O*)N(*)N(*)S(=O)(=O)*,sulfonyl carbazate
O=C([O][R])[N]([R])[O][R],O=C(O*)N(*)O*,n-oxycarbamate
O=C(O)C([O][R])[N]([R])[C](=O)[R],O=C(O)C(O*)N(*)C(=O)*,alpha-hydroxy acid n-acyl amino acid
O=C([O][R])[N]([R])C(=S)[N]([R])[R],O=C(O*)N(*)C(=S)N(*)*,carbamothioylcarbamate
O=C(C([O][R])[S][R])[N]([R])[R],O=C(C(O*)S*)N(*)*,alpha hydroxy alpha sulfanyl amide
C=C[CH]=[Car],C=C[C&H1]=c,conjugated aryl diene
[R][O]CO[O][R],*OCOO*,peroxy acetal
[R][O]C([O][R])C([O][R])[N]([R])[R],*OC(O*)C(O*)N(*)*,aminopolyol fragment
OC=C[O][R],OC=CO*,"1,2-dioxyethene"
O=[C]([R])C([O][R])=C([O][R])[C](=O)[R],O=C(*)C(O*)=C(O*)C(=O)*,14 dicarbonyl enediol
C=C1N=CC=C1[O][R],C=C1N=CC=C1O*,5-vinyl-4-oxy pyrrole
O=[C]([R])[N]([R])COP(=O)(O)O,O=C(*)N(*)COP(=O)(O)O,amide methyl phosphate
O[N]([R])C=CC(=[N][R])[O][R],ON(*)C=CC(=N*)O*,hydroxyamino vinyl imidate
C=NC=[S][R],C=NC=S*,thiazole ring
C=C1SC([S][R])=NC1=O,C=C1SC(S*)=NC1=O,rhodanine analogue
O=[C]([R])[N]([R])N(CO)C(=O)[O][R],O=C(*)N(*)N(CO)C(=O)O*,hydroxymethyl hydrazine ester
C#CBr,C#CBr,bromo alkyne
O=[C]([R])C(C=[N][R])=C[N]([R])[R],O=C(*)C(C=N*)=CN(*)*,carbonyl amidine
O=C(O)C=S,O=C(O)C=S,thioacetic acid derivative
O=C(C([S][R])[S][R])[N]([R])[R],O=C(C(S*)S*)N(*)*,alpha dithio amide
O=C(SC(=[N][R])[S][R])[N]([R])[R],O=C(SC(=N*)S*)N(*)*,thioimidate carbamothioate
C=Nc1c[n]([R])[n]([R])c1=[N][R],C=Nc1cn(*)n(*)c1=N*,bis(imino)azolium n substituents
O=CC=CCl,O=CC=CCl,beta chloro vinyl carbonyl
C=C(Br)[N+](=O)[O-],C=C(Br)[N&+](=O)[O&-],bromo nitro alkene
C=CC(=O)[N]([R])C(=S)[N]([R])[N]([R])[C](=O)[R],C=CC(=O)N(*)C(=S)N(*)N(*)C(=O)*,acrylamide thiocarbamoyl hydrazide
C=CC(=O)[N]([R])C(=S)[N]([R])[N]([R])C(=O)[O][R],C=CC(=O)N(*)C(=S)N(*)N(*)C(=O)O*,acrylamide thiourea hydrazine carbamate
C=CC=NN=C[N]([R])[R],C=CC=NN=CN(*)*,vinyl diazadienyl amine
C=C1SC(=O)N=C1O,C=C1SC(=O)N=C1O,thiazolone alkylidene enol
O=[C]([R])N(C[N]([R])[R])[N]([R])[R],O=C(*)N(CN(*)*)N(*)*,n-2-aminoethyl-n-amino amide
O=[C]([R])C=C[N]([R])N([C](=O)[R])[C](=O)[R],O=C(*)C=CN(*)N(C(=O)*)C(=O)*,vinyl diacyl hydrazine
C=C(C=C[O][R])C(=O)[N]([R])[R],C=C(C=CO*)C(=O)N(*)*,push-pull diene
C=C1C(=O)OCOC1=O,C=C1C(=O)OCOC1=O,"alkylidene 1,3-dioxane-4,6-dione"
O=C([CH]=[Car])[N]([R])[R],O=C([C&H1]=c)N(*)*,arylidene amide
O=C1C=CC([O][R])O1,O=C1C=CC(O*)O1,gamma lactone oxygen substituted
C=CN=CC=CN=C[N]([R])[R],C=CN=CC=CN=CN(*)*,diimine polyene amine
C1=NCOCS1,C1=NCOCS1,"1,3,5-oxathiazine"
N#CC=C(OC=C[C](=O)[R])[N]([R])[R],N#CC=C(OC=CC(=O)*)N(*)*,beta-keto enol ether cyanoenamine
O=C(C=CN=C([S][R])[N]([R])[R])[N]([R])[R],O=C(C=CN=C(S*)N(*)*)N(*)*,thiazolo carboxamide core
N#CN=C([N]([R])[R])[N]([R])C[N]([R])[C](=O)[R],N#CN=C(N(*)*)N(*)CN(*)C(=O)*,cyanocarbamimidoyl methylenediamino ureas
O=C(O)[N]([R])[C](=O)[R],O=C(O)N(*)C(=O)*,carbamoylcarbamate
O=C1C=CC(=O)O1,O=C1C=CC(=O)O1,maleic anhydride
C=CC(=C)F,C=CC(=C)F,vinyl fluoroalkene
O=[C]([R])C=C1SC=C[N]1[R],O=C(*)C=C1SC=CN1*,thiazolylidene carbonyl
O=[C]([R])C(Cl)=N[N]([R])[R],O=C(*)C(Cl)=NN(*)*,acyl hydrazonoyl chloride
O=[C]([R])O[N]([R])[C](=O)[R],O=C(*)ON(*)C(=O)*,acyl carbamate
O=C1[N]([R])C[N]([R])C[N]1[Nar],O=C1N(*)CN(*)CN1n,fused triazinones
C=C([O][R])n1c(=[N][R])nc[n]1[R],C=C(O*)n1c(=N*)ncn1*,alkenyloxy triazole imine
O=[C]([R])[N]([R])C(=O)C=C[N]([R])[Nar],O=C(*)N(*)C(=O)C=CN(*)n,azolopyrimidinedione
O=C1C=N[N]([R])C([S][R])[N]1[R],O=C1C=NN(*)C(S*)N1*,thiotriazinone
O=S(=O)(O)[N]([R])[N]([R])[R],O=S(=O)(O)N(*)N(*)*,sulfonyl hydrazide
O=[S](=O)([R])N=C[N]([R])[O][R],O=S(=O)(*)N=CN(*)O*,sulfonyl amidoxime
C=C[N]([R])C=[N][R],C=CN(*)C=N*,enamine imine
S=P([O][R])([N]([R])[R])[N]([R])[R],S=P(O*)(N(*)*)N(*)*,phosphorodiamidothioate
C=C([N]([R])[R])[N]([R])[C](=O)[R],C=C(N(*)*)N(*)C(=O)*,amino pyrimidinone core
O=[C]([R])C(=N[N]([R])[C](=O)[R])[S][R],O=C(*)C(=NN(*)C(=O)*)S*,sulfanyl acyl hydrazone
O=[C]([R])[N]([R])C(=O)C1N=C([N]([R])[R])[N]([R])C([N]([R])[R])=N1,O=C(*)N(*)C(=O)C1N=C(N(*)*)N(*)C(N(*)*)=N1,triazine di tertiary amino amide ketone
C=C(C(=O)OCOC(=O)[O][R])N(C[S][R])[C](=O)[R],C=C(C(=O)OCOC(=O)O*)N(CS*)C(=O)*,mixed carbonate vinyl amino thioester
C=C(C(=O)[N]([R])CO)[N]([R])[C](=O)[R],C=C(C(=O)N(*)CO)N(*)C(=O)*,bis-activated vinyl system
O=[C]([R])O[O][R],O=C(*)OO*,peroxy acid
O=S(=O)(O)ON=CSC[O][R],O=S(=O)(O)ON=CSCO*,sulfate linked to imino thioalkyl alcohol
O=[S](=O)([R])N=C[N]([R])C(=[N][R])[S][R],O=S(=O)(*)N=CN(*)C(=N*)S*,sulfonamide nitrogen bond
O=[C]([R])[N]([R])C(=O)[N]([R])C(=O)[S][R],O=C(*)N(*)C(=O)N(*)C(=O)S*,amide urea thioester
ClC(C=C[N]([R])[R])=C(C=[N+]([R])[R])C=[N+]([R])[R],ClC(C=CN(*)*)=C(C=[N&+](*)*)C=[N&+](*)*,alpha chloro enaminyl gem bis iminium
FC=C(F)F,FC=C(F)F,trifluoroalkene
[R][N]([R])N=CC=N[N]([R])[R],*N(*)N=CC=NN(*)*,"1,2-dihydrazonoethane"
N#CC1=C2C=CC=CN2CN=C1[S][R],N#CC1=C2C=CC=CN2CN=C1S*,4 cyano 3 thioether pyridopyrimidine
O=C(C=[CH][Nar])[N]([R])[R],O=C(C=[C&H1]n)N(*)*,beta heteroaryl acrylamide
C=CC=CC=NC(=S)[N]([R])[C](=O)[R],C=CC=CC=NC(=S)N(*)C(=O)*,conjugated imino n-acylthiourea
O=[C]1[O][Pt][O][C](=O)[R]1,O=C1O[#78]OC(=O)*1,platinum oxalate
O=S(=O)([N]([R])[R])[N]([R])C(Cl)=CCl,O=S(=O)(N(*)*)N(*)C(Cl)=CCl,"n-1,2-dichloroethenyl sulfonamide"
O=C(O)C(=CCl)[N]([R])[C](=O)[R],O=C(O)C(=CCl)N(*)C(=O)*,3-chloro-2-acylaminoacrylate
ClC=C(Cl)[S][R],ClC=C(Cl)S*,"1,2-dichloro vinyl sulfide"
[R][S]C=N[N]([R])[R],*SC=NN(*)*,thioether imine hydrazine
N#[N+][N-][S](=O)(=O)[R],N#[N&+][N&-]S(=O)(=O)*,sulfonyl azide
O=[C]([R])N=CC=C[N]([R])[R],O=C(*)N=CC=CN(*)*,pyrimidin-2-one
N#[C][Fe-2]([C]#N)([C]#N)([C]#N)([C]#N)[N]=O,N#C[#26&-2](C#N)(C#N)(C#N)(C#N)N=O,pentacyanonitrosylferrate
N#CC=C([S][R])[N]([R])[R],N#CC=C(S*)N(*)*,aminothiophene carbonitrile precursor
C=CC=CC#N,C=CC=CC#N,diene nitriles
C=C(C#N)C(=C(C#N)C#N)[N]([R])[R],C=C(C#N)C(=C(C#N)C#N)N(*)*,amino tricyano diene
C=C(C#N)[S](=O)(=O)[R],C=C(C#N)S(=O)(=O)*,cyano sulfone alkene
N#CC=NO,N#CC=NO,cyanoxime
N#CC=C([S][R])[N]([R])[C](=O)[R],N#CC=C(S*)N(*)C(=O)*,beta sulfanyl beta enamido acrylonitrile
N#CC=C1C=CC=N[N]1[R],N#CC=C1C=CC=NN1*,cyano vinyl diazole
N#C[C](=[Car])C#N,N#CC(=c)C#N,michael acceptor 6
N#CC(C#N)=C1C=CC=N[N]1[R],N#CC(C#N)=C1C=CC=NN1*,6 dicyanomethylidene 1 2 dihydropyridazine
N#CC(=CN=C[N]([R])[R])C(=O)[N]([R])[R],N#CC(=CN=CN(*)*)C(=O)N(*)*,alpha cyano beta amidino acrylamide
N#CC=C(C=C(C#N)C#N)[N]([R])[R],N#CC=C(C=C(C#N)C#N)N(*)*,tertiary amino tricyanobutadiene
N#CC=C([N]([R])[R])[N]([R])[C](=O)[R],N#CC=C(N(*)*)N(*)C(=O)*,cyano enamine amide chain
[R][N]([R])C=NC[N]([R])[R],*N(*)C=NCN(*)*,tertiary amine imino methyl tertiary amine
C=CC(=O)[N]([R])[Nar],C=CC(=O)N(*)n,heterocyclic acrylamide
O=[C]([R])N(C[O][R])[C](=O)[R],O=C(*)N(CO*)C(=O)*,hydroxymethyl imide
[R][N]([R])C1N=CC=C[N]1[R],*N(*)C1N=CC=CN1*,1 tertiary amino dihydropyrazine
N#C[N]([R])C=[N][R],N#CN(*)C=N*,cyanoguanidine
C=N[N]([R])C(=[N][R])[N]([R])N=C,C=NN(*)C(=N*)N(*)N=C,amidrazone dihydrazone
C=C1C(=O)SC(=[N][R])[N]1[R],C=C1C(=O)SC(=N*)N1*,imino thiazolidinones
[R][N]=CN=c1nccc[n]1[R],*N=CN=c1ncccn1*,pyrazinylamidine
OC=C(O)C(=[N][R])[O][R],OC=C(O)C(=N*)O*,hydroxy imino enol ester
[R][N]=C[N]([R])C(=[N][R])[S][R],*N=CN(*)C(=N*)S*,thioimidate amidine
O=[S](=O)([R])[N]([R])C=C[S][R],O=S(=O)(*)N(*)C=CS*,sulfonamide vinyl sulfide
[R][B]([N]([R])[R])[N]([R])[R],*B(N(*)*)N(*)*,diamino borane
O=C1[N]([R])C2C([N]1[R])[N]([R])C(=O)[N]2[R],O=C1N(*)C2C(N1*)N(*)C(=O)N2*,imidazo imidazole dione
C=C([N]([R])[R])[N]([R])O[C](=O)[R],C=C(N(*)*)N(*)OC(=O)*,vinyl carbamate enamine
[R][N]=[C]([Nar])[N]([R])[R],*N=C(n)N(*)*,heterocyclic guanidine
S=C([N]([R])[R])[N]([R])C(=[N][R])[N]([R])[R],S=C(N(*)*)N(*)C(=N*)N(*)*,carbamimidoylthiourea
O=[C]([R])N=C([N]=[Car])[N]([R])[R],O=C(*)N=C(N=c)N(*)*,azole carboxamide
O=C(C=C([S][R])[N]([R])[C](=O)[R])[N]([R])[R],O=C(C=C(S*)N(*)C(=O)*)N(*)*,"thiophene-2,3-dicarboxamide"
O=C(C=N[N]([R])[R])[N]([R])C(=[N][R])[S][R],O=C(C=NN(*)*)N(*)C(=N*)S*,thiazol-2-yl heteroaryl carboxamide
O=[C]1[R][N](C(=O)[O][R])C=C[N]1[R],O=C1*N(C(=O)O*)C=CN1*,pyrazinone carbamate ester
O=C([N]([R])[R])[N]([R])N=CC=NO,O=C(N(*)*)N(*)N=CC=NO,oxime hydrazine urea
C=CC=CC=N[N]([R])C(=O)[N]([R])[R],C=CC=CC=NN(*)C(=O)N(*)*,conjugated semicarbazone
O=C(C=CO)[N]([R])C(=O)[N]([R])[R],O=C(C=CO)N(*)C(=O)N(*)*,acyl urea
O=C1C([N]([R])C(=O)[N]([R])[R])[N]([R])C(=O)[N]1[R],O=C1C(N(*)C(=O)N(*)*)N(*)C(=O)N1*,cyclic triureides
S=C(N=C[N]([R])[R])[N]([R])[R],S=C(N=CN(*)*)N(*)*,thiourea amidine
[R][S]C[N+]([R])=C[N]([R])[R],*SC[N&+](*)=CN(*)*,thioalkyl amidinium
O=C(O)C=N[N]([R])C[N]([R])[R],O=C(O)C=NN(*)CN(*)*,aminoalkyl hydrazone acid
O=C(O)C([N]([R])C(=O)[N]([R])[R])[N]([R])C(=O)[N]([R])[R],O=C(O)C(N(*)C(=O)N(*)*)N(*)C(=O)N(*)*,bis carbamoylamino acetic acid
[R][N]=C([N]([R])[R])[N]([R])C[O][R],*N=C(N(*)*)N(*)CO*,n-alkoxymethylguanidine
O=[C]([R])[N]([R])[N]([R])C(=[N][R])[N]([R])[R],O=C(*)N(*)N(*)C(=N*)N(*)*,amidinyl hydrazide
O=[C]([R])C(=C[N]([R])[R])C(=C[N]([R])[R])[C](=O)[R],O=C(*)C(=CN(*)*)C(=CN(*)*)C(=O)*,"1,4-diketone dienamine"
[R][O]C1=NC([N]([R])[R])=NC[N]1[R],*OC1=NC(N(*)*)=NCN1*,amino alkoxy triazine
O=S(=O)(O)[O][Nar],O=S(=O)(O)On,heteroaryl hydrogen sulfate
C=CN=C([S][R])[N]([R])[R],C=CN=C(S*)N(*)*,benzazole nitrogen
[R][N]=C(C(=[N][R])[N]([R])[R])[N]([R])[R],*N=C(C(=N*)N(*)*)N(*)*,biguanide
O=P(O)([O][Na])OP(=O)([O][Na])[O][R],O=P(O)(O[#11])OP(=O)(O[#11])O*,disodium diphosphate monoester
O=[C]1[R][N]([R])C(Br)N(C[O][R])C[N]([R])C([N]([R])[R])[N]1[R],O=C1*N(*)C(Br)N(CO*)CN(*)C(N(*)*)N1*,8-bromo-2-amino-9-glycosyl-purin-6-one
O=[P+](O)[O][R],O=[P&+](O)O*,oxo phosphanium
[R][N]=NC[N]([R])[R],*N=NCN(*)*,azo tertiary alkylamine
O=[C]([Nar])C(=C[O][R])[O][R],O=C(n)C(=CO*)O*,aromatic amide enol ether ester
ON=[CH][Nar],ON=[C&H1]n,aromatic amidoxime
OCN=C([N]([R])[R])[N]([R])[R],OCN=C(N(*)*)N(*)*,oxyalkyl guanidine
O=[C]([R])C=NC(C(=O)[O][R])[N]([R])[R],O=C(*)C=NC(C(=O)O*)N(*)*,amino acid ester enol imine
O=P(O)(O)[S][R],O=P(O)(O)S*,phosphonothioate
O=[S](=O)([R])[N]([R])C=C[O][R],O=S(=O)(*)N(*)C=CO*,enol ether sulfonamide
[R][O][B]([R])[R],*OB(*)*,boronate
O=[C]1[R][S]C(=[N][R])N1[N]([R])[R],O=C1*SC(=N*)N1N(*)*,3-amino-2-iminothiazolidin-4-one
O=[C]1[R][N]([R])C(=O)N1[N]([R])[R],O=C1*N(*)C(=O)N1N(*)*,"1-amino 2,4-diketohydantoins"
C=CC=C(C(=O)[N]([R])[N]([R])[R])[N]([R])[C](=O)[R],C=CC=C(C(=O)N(*)N(*)*)N(*)C(=O)*,geminal dienyl hydrazide and amide
S=C[N]([R])[N]([R])[R],S=CN(*)N(*)*,substituted thiosemicarbazide
C#CS(=O)(=O)[N]([R])[R],C#CS(=O)(=O)N(*)*,alkynyl sulfonamide
O=NC(=C1C([N]([R])[R])=NO[N]1[R])[N]([R])[R],O=NC(=C1C(N(*)*)=NON1*)N(*)*,4-amino-3-amidoxime furoxan
[Cl][Ru]([Cl])([Nar+])([Nar+])([Nar+])[Nar+],Cl[#44](Cl)([n&+])([n&+])([n&+])[n&+],ruthenium bipyridine dichloride
O=[C]([R])C(C=CS(=O)(=O)O)=N[N]([R])[R],O=C(*)C(C=CS(=O)(=O)O)=NN(*)*,vinyl sulfonate hydrazone
[R][Hg],*[#80],mercury
N#CC(=NO)C(=O)[O][R],N#CC(=NO)C(=O)O*,cyano oximino carboxylate
O=[C]([R])[N]([R])C[N]([R])[Nar],O=C(*)N(*)CN(*)n,azolopyrimidinone
O=C([O][R])OC[O][R],O=C(O*)OCO*,geminal diol carbonate
O=C(O)C(O)[O][R],O=C(O)C(O)O*,alpha-hydroxy acid ester
O=P([O-])(O)OP(=O)([O][R])[O][R],O=P([O&-])(O)OP(=O)(O*)O*,diphosphate monoanion phosphodiester
O=P([O][Na])([O][Na])OP(=O)([O][Na])OP(=O)([O][Na])[O][R],O=P(O[#11])(O[#11])OP(=O)(O[#11])OP(=O)(O[#11])O*,tetrasodium triphosphate ester
O=P([O][Na])([O][Na])OP(=O)([O][R])[O][R],O=P(O[#11])(O[#11])OP(=O)(O*)O*,disodium pyrophosphate diester
O=C(C=CC=CC=CC=CC=CC=CC=CC(=O)OC[O][R])OC[O][R],O=C(C=CC=CC=CC=CC=CC=CC=CC(=O)OCO*)OCO*,conjugated heptaene bis glycolate
O=C([O][R])C(=C[O][Na])OP(=O)([O][Na])[O][Na],O=C(O*)C(=CO[#11])OP(=O)(O[#11])O[#11],sodium enol phosphate carboxylate
O=S(=O)([O][K])ON=CSC[O][R],O=S(=O)(O[#19])ON=CSCO*,alkylthio alkoxy imino potassium sulfonate
OCOCOCO[O][R],OCOCOCOO*,polyether peroxide
OCO[N+]([R])([R])[R],OCO[N&+](*)(*)*,alpha oxy alkoxy ammonium
C=CC1(O)C(=O)[N]([R])C([O][R])C(=O)[N]1[R],C=CC1(O)C(=O)N(*)C(O*)C(=O)N1*,allylic alcohol cyclic diamide
O=S(=O)([O][Na])[N]([R])[R],O=S(=O)(O[#11])N(*)*,sodium sulfamate
O=C(O)C=CC=CC=CC=CC=CC=CC=CC(=O)O,O=C(O)C=CC=CC=CC=CC=CC=CC=CC(=O)O,conjugated polyene diacid
[R][O]CSC[O][R],*OCSCO*,beta hydroxy thioether
O=P(O)([O][R])OP(=O)([O][Na])[O][R],O=P(O)(O*)OP(=O)(O[#11])O*,sodium pyrophosphate diester
O=P([O][Na])([O][Na])OC[O][R],O=P(O[#11])(O[#11])OCO*,disodium sugar phosphate
O=P([O-])([O][R])OP(=O)([O][Na])[O][R],O=P([O&-])(O*)OP(=O)(O[#11])O*,sodium pyrophosphate diester
OCOCOCOCO,OCOCOCOCO,polyoxymethylene
O=[Si](O)O,O=[#14](O)O,silicic acid
O=[As]O,O=[#33]O,arsonic acid
O=[As]([R])O[As](=O)[R],O=[#33](*)O[#33](=O)*,arsonic anhydride
O=[N+]([O-])C(C(Cl)=C(Cl)Cl)=C([S][R])[N]([R])[R],O=[N&+]([O&-])C(C(Cl)=C(Cl)Cl)=C(S*)N(*)*,nitrotrichloro allylidene thioamine
O=[N+]([O-])C(C(Cl)=C(Cl)Cl)=[C]([Nar])[N]([R])[R],O=[N&+]([O&-])C(C(Cl)=C(Cl)Cl)=C(n)N(*)*,trichloronitro vinyl heterocycle
O=[N+]([O-])N=C([N]([R])[R])[N]([R])[R],O=[N&+]([O&-])N=C(N(*)*)N(*)*,nitroguanidine
O=[N+]([O-])N=C1[N]([R])COC[N]1[R],O=[N&+]([O&-])N=C1N(*)COCN1*,"1,3,5-oxadiazinan-4-ylidene nitramide"
[R][N][N]([R])[R],*NN(*)*,beta-substituted hydrazine
O=P([O][R])([N]([R])[R])[N]([R])C[S][R],O=P(O*)(N(*)*)N(*)CS*,alkylthioalkylamino phosphorodiamidate
[O]=[Nar]([O][R])([O][R])[O][Nar](=[O])([O][R])[O][R],O=n(O*)(O*)On(=O)(O*)O*,dinitrogen pentoxide moiety
O=C1C2OC2C2OC2C12CO2,O=C1C2OC2C2OC2C12CO2,spiro oxirane lactone
O=C([O-])[C](=O)[R],O=C([O&-])C(=O)*,2-oxo carboxylate
O=C([O-])O,O=C([O&-])O,carbonate monoanion
O=C(O)P(=O)(O)O,O=C(O)P(=O)(O)O,acylphosphonate
C=C=CC=CC=CC=CC=CC=CC=CC=C[C](=O)[R],C=C=CC=CC=CC=CC=CC=CC=CC=CC(=O)*,allene polyene carbonyl
C=CC(O)=C[C](=O)[R],C=CC(O)=CC(=O)*,ortho-hydroxy carbonyl
C=CC(=O)C=C(O)C=C,C=CC(=O)C=C(O)C=C,enone with enol vinyl
C=CC(=O)C(=O)C=C,C=CC(=O)C(=O)C=C,divinyl diketone
[R][N]1N=N1,*N1N=N1,triazirine
C=CC=C1C(=O)[N]([R])[N]([R])C1=O,C=CC=C1C(=O)N(*)N(*)C1=O,4-alkylidenepyrazolidinedione
O=C1C=C(O)C(=O)[N]1[R],O=C1C=C(O)C(=O)N1*,unsaturated hydroxy imide
O=[C]([R])[N]([R])C1([O][R])C(=O)[N]([R])C1[S][R],O=C(*)N(*)C1(O*)C(=O)N(*)C1S*,3-n-amido-3-oxy-4-thio beta-lactam
[R][O]C[N]([R])[Nar],*OCN(*)n,meta-azaaryl hydroxymethyl
C=CC=C(C(=O)OCO[C](=O)[R])N(C[S][R])[C](=O)[R],C=CC=C(C(=O)OCOC(=O)*)N(CS*)C(=O)*,prodrug formal-linked diester with thioamide
C=CC([O][R])=C([O][R])[C](=O)[R],C=CC(O*)=C(O*)C(=O)*,dihydroxy diene carbonyl
O=C1C=CS(=O)[N]1[R],O=C1C=CS(=O)N1*,sulfonyl thiazolone
C=CC(=O)[N]([R])[N]([R])C(=O)[N]([R])[R],C=CC(=O)N(*)N(*)C(=O)N(*)*,acryloyl hydrazino urea
C=CC(=O)C=C[N]([R])[R],C=CC(=O)C=CN(*)*,ortho diamides
OO[N]([R])[R],OON(*)*,amine peroxides
O=C(C(=C[N]([R])[C](=O)[R])[N]([R])[R])[N]([R])[R],O=C(C(=CN(*)C(=O)*)N(*)*)N(*)*,enamine-bridged diamide
O=C(C=CN=C[N]([R])[R])[O][R],O=C(C=CN=CN(*)*)O*,enamidine acrylate
O=[C]([R])OCOC(=O)C=C[N]([R])C=CC(=O)[O][R],O=C(*)OCOC(=O)C=CN(*)C=CC(=O)O*,acyloxymethyl ester amino dienoate
O=C(C=C[N]([R])C(=CC(=O)[O][R])[N]([R])[R])[O][R],O=C(C=CN(*)C(=CC(=O)O*)N(*)*)O*,pyrrole dicarboxylate
[OH][Sear]([O][R])[O][R],[O&H1][#34](O*)O*,selenite
O=[C]([R])S[S](=O)(=O)[R],O=C(*)SS(=O)(=O)*,sulfosulfanyl carbonyl
C=NC=C(C(=O)O)[C](=O)[R],C=NC=C(C(=O)O)C(=O)*,beta dicarbonyl imine
O=C(C=COCO)[O][R],O=C(C=COCO)O*,carboxylic acid enol ester
O=C1C=CN([C](=O)[R])C[N]1[R],O=C1C=CN(C(=O)*)CN1*,1-acyl uracil
O=[C]([R])C(O)([O][R])[C](=O)[R],O=C(*)C(O)(O*)C(=O)*,beta dicarbonyl hemiacetal
O=C(C1=COC=CN1[C](=O)[R])[N]([R])[R],O=C(C1=COC=CN1C(=O)*)N(*)*,"2-carbonyl-3,6-dihydro-2h-1,2-oxazin-6-yl carbamate"
O=[C]([R])C1=C(O)N=C[N]([R])[N]1[R],O=C(*)C1=C(O)N=CN(*)N1*,hydroxy carboxylic acid diazine fragment
O=[C]([R])[N]([R])CS(=O)(=O)O,O=C(*)N(*)CS(=O)(=O)O,amidomethanesulfonic acid
O=C1C=COC1O,O=C1C=COC1O,gamma hydroxy butenolide
O=C1C([N]([R])[C](=O)[R])N=C([S][R])[N]1[R],O=C1C(N(*)C(=O)*)N=C(S*)N1*,thioether substituted amide hydantoin
O=[C]1N=C([N]([R])[N]([R])[R])[S][R]1,O=C1N=C(N(*)N(*)*)S*1,thiazol-4-one 2-amino
O=[S](=O)([R])N=c1nc[n]([R])[n]1[R],O=S(=O)(*)N=c1ncn(*)n1*,sulfonamidine triazole
