smarts,cleaned_description
"[C!H0;!H1,$([C!H0][#6,#7,#8,#16])][CX4;!H0!H1,$([!H0][Cl,Br,I]),$(*([Cl,Br,I])([Cl,Br,I]))][Cl,Br,I]",haloalkyl
"[CX4;!H0!H1,$([!H0][Cl,Br,I]),$(*([Cl,Br,I])([Cl,Br,I]))]([Cl,Br,I])[#7,#8,#16]","haloalkyl group attached to s, n or o atoms"
"[CX3!H0]=[CX3;!H0,$([CX3][Cl,Br,I])][Cl,Br,I]",haloethylenes
"c1([F,Cl,Br,I])n[c,n][c,n][c,n][c,n]1",halopyridines
"[CH3][CH2][CH2][CH2][CH2][CH2][CH2,CH3]",heptanes
"[NX3!H0;!H1,$([NX3!H0][#6])][NX3!H0;!H1,$([NX3!H0][#6])]",hydrazines
"[NX3;!H0!H1,$([!H0][#6]),$(*([#6])[#6])][NX2]=[CX3!H0;!H1,$([CX3!H0][#6])]",imines
"[$([OX1-][#7+]1=,:[#6,#7]-,:[#6,#7]=,:[#6,#7]-,:[#6,#7,#8,#16]1),$([OX1]=[#7v5]1=,:[#6,#7]-,:[#6,#7]=,:[#6,#7]-,:[#6,#7,#8,#16]1)]",n-oxides (five-membered rings)
[#15&0],phosphorus
[#15+],phosphorus cations
"O[F,Cl,Br,I]",peroxide like compounds
[Pv5X4](=[OX1])([OX2])([OX2])[#6],phosphates
[#15]=O,double p=o bonds
"[#6][#7+]1=,:[#6]-,:[#6,#7]=,:[#6]-,:[#6,#7]=,:[#6]1",pyridinium like compounds
"[#6,#7]1=,:[#6,#7]-,:[#6,#7]=,:[#7+]2-,:[#6,#7]=,:[#6,#7]-,:[#6,#7]=,:[#6,#7]-,:[#6]2=,:[#6,#7]1",quinolizinium like compounds
"[#6]1(=[OX1])-,:[#6]=,:[#6]-,:[#6](=[OX1])-,:[#6]=,:[#6]1",quinones
"[Sv6X4](=[OX1])(=[OX1])([#8])[#6,#8]",sulfates
"[CX3;!H0,$([CX3][#6])]([H])=[SX1]",thio aldehydes
"[#16][F,Cl,Br,I]",thio halogens
"[#6&!$(C(=[OX1,SX1,NX2]))][SX2H1]",thioalcohols
"[NX3H2][CX3;!H0,$([CX3][#6,#8])]=[SX1]",thioamides
"[NX3;!H0!H1,$([!H0][#6,#7]),$(*([#6,#7])([#6]))][CX3](=[SX1])[NX3;!H0!H1,$([!H0][#6,#7]),$(*([#6,#7])([#6]))]",thioureas
"[#6][#7+]1=,:[#6]-,:[#7,#8,#16]-,:[#6]=,:[#6]1",thiozolium like compounds
"[Br,Cl,F,I][CX3;!H0,!$(*[OH1]),!$(*[SH1])]=[OX1]",acyl halides
"[#6][Sv6X4](=[OX1])(=[OX1])[F,Cl,Br,I]",sulphonyl halides
"[CX4][F,Cl,Br,I]",alkyl halides
"[$(c([F,Cl,Br,I])c[$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])]),$(c([F,Cl,Br,I])aac[$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])]),$(c([F,Cl,Br,I])n),$(c([F,Cl,Br,I])aan)]",activated halides
[CX3](=[OX1])[OX2][CX3](=[OX1]),anhydrides
"[$([CX3;!H0,$([CX3][#6])]([H])=[OX1]),$([#7;!H0!H1,$([!H0][#6]),$(*([#6])([#6]))][CX3H1]=[OX1])]",aldehydes (including aminoformyl moieties)
"[NX3;!H0!H1,$([!H0][#6]),$(*([#6])[#6])][NX3;!H0!H1,$([!H0][#6]),$(*([#6])[#6])]",hydrazines
"[$(*-[NX2-]-[NX2+]#[NX1]),$(*-[NX2]=[NX2+]=[NX1-]),$(*-[NX2]=[NX2+]=N)]",azides
"[$([CX3]=[NX2+]=N),$([CX3]=[NX2]=[NX1]),$([CX3]=[NX2+]=[NX1-]),$([#6-][NX2+]#[NX1]),$([CX3][NX2]#[NX1])]",diazonium salts
"[$([NX4,$([NX4+]);!H0!H1!H2!H3,$([!H0!H1!H2][#6]),$([!H0!H1]([#6])[#6]),$([!H0]([#6])([#6])[#6]),$(*([#6])([#6])([#6])[#6])]),$([OX1-,OH1][#7X4+]([*])([*])([*])),$([OX1]=[#7X4v5]([*])([*])([*])),$([OX1]=[Nv5X3&!$([Nv5X3](=[OX1])=[OX1])](=[*])([*])),$([OX1-,OH1][#7X3+R](~[R])(~[R])),$([OX1]=[#7v5X3R](~[R])(~[R]))]  ",quaternary salts (including n-oxides)
[NX2]=[OX1],nitrosos
[NX3]1[CX4][CX4]1,aziridines
[OX2]1[CX4][CX4]1,epoxides
[SX2][SX2],disulphides
"c1([OH1,O-])c([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])cc([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])cc1([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])",picrates
"[$([Clv7X4](=[OX1])(=[OX1])(=[OX1])[OX2,O-]),$([Iv7X4](=[OX1])(=[OX1])(=[OX1])[OX2,O-])]",perchlorates (periodates)
"[$(c1([NX3;!H0!H1,$([!H0][#6]),$(*([#6])[#6])])ccccc1),$(c1([OH1])ccccc1)]",simple anilines and phenols
[CX3R](=[OX1])[CX3R](=[OX1]),"1,2-dicarbonyls"
[CX3]([!R])([!R])=[CX3][CX3](=[OX1])[!$([OH1])!$([OX2][CH2])!$([NH2])!$([CX2]#[NX1])!a],vinyl ketones (michael acceptors)
nC(=O)[#6],n-acyl substituted azoheterocycles
"[$([OX1-][#7+]1=,:[#6,#7]-,:[#6,#7]=,:[#6,#7]-,:[#6,#7]=,:[#6,#7]1),$([OX1]=[#7v5]1=,:[#6,#7]-,:[#6,#7]=,:[#6,#7]-,:[#6,#7]=,:[#6,#7]1)]",n-oxides (six-membered rings)
[!#1;!#6;!#7;!#8;!#9;!#11;!#12;!#15;!#16;!#17;!#19;!#20;!#35;!#53],metals
"[F,Cl,Br][CX3;!H0,!$(*[OH1]),!$(*[SH1])]=[OX1]",acid halides
"[CX3](=[OX1])[$([NX2]=[NX2+]=[NX1-]),$(N=[NX2+]=N),$([NX2-]-[NX2+]#[NX1])]",acid azides
"[#6][Sv6X4](=[OX1])(=[OX1])[Cl,Br]",sulphonyl halides
"[Sv6X4](=[OX1])(=[OX1])[$([NX2]=[NX2+]=[NX1-]),$([NX2]=[NX2+]=N)]",sulphonyl azides
[CX3](=[OX1])[OX2][CX3](=[OX1]),acid anhydrides
[CX3](=[OX1])[OX2][OX2][CX3](=[OX1]),diacyl peroxides
[cR1]1([OX2][CX3](=[OX1])[#6])[cR1][cR1][cR1][cR1][cR1]1,phenyl esters
[NX2]=[CX2]=[OX1],isocyanates
[NX3]1[CX4][CX4][CX3]1(=[OX1]),β-lactams
[CX3](=[SX1])[SX2],thioesters
"[CX4][Cl,Br,I]",haloalkanes
"[$([#6][OX2][Sv6X4](=[OX1])(=[OX1])[OX2][#6]),$([#6][Sv6X4](=[OX1])(=[OX1])[OX2][#6])]",dialkylsulfates/ sulfonates
"[CX3](=[OX1])[NX3]([CX4]([Cl,Br,I])([Cl,Br,I])[Cl,Br,I])[CX3](=[OX1])",n-trihalomethyl imides
"[$([F,Cl,Br]c1c([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])c([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])ccc1),$([F,Cl,Br]c1c([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])cc([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])cc1),$([F,Cl,Br]c1c([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])ccc([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])c1),$([F,Cl,Br]c1c([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])cccc1([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])),$([F,Cl,Br]c1cc([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])c([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])cc1),$([F,Cl,Br]c1cc([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])cc([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])c1),$([F,Cl,Br]c1c([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])c([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])c([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])cc1),$([F,Cl,Br]c1c([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])c([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])cc([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])c1),$([F,Cl,Br]c1c([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])c([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])ccc1([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])),$([F,Cl,Br]c1cc([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])c([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])c([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])c1),$([F,Cl,Br]c1cc([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])c([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])cc1([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])),$([F,Cl,Br]c1c([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])cc([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])cc1([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])]))]",halogen containing di- or tri-nitro aromatics
"[$([#6X3]1=,:[#6X3]-,:[#6X3](=[OX1])-,:[#6X3]=,:[#6X3]-,:[#6X3]1(=[OX1])),$([#6X3]1(=[OX1])-,:[#6X3](=[OX1])-,:[#6X3]=,:[#6X3]-,:[#6X3]=,:[#6X3]1)]",quinones
"[OX2;!H0,$([OX2][CX4])][cR1]1[cR1][cR1][cR1]([OX2;!H0,$([OX2][CX4])])[cR1][cR1]1",hydroquinones and o-alkyl precursors
"[OX2;!H0,$([OX2][CX4])][cR1]1[cR1]([OX2;!H0,$([OX2][CX4])])[cR1][cR1][cR1][cR1]1",catechols and o-alkyl precursors
"[$([CX3]([#6,$([NX3]([CX3]=[OX1])([#6])[#6]),$([OX2]([CX3]=[OX1])[#6]);!$([OH][CX3]=[OX1]);!$([O-][CX3]=[OX1])])(=[OX1])[CX3;!H0,$([CX3][#6])]=[CX3]([!a])([!a])),$([CX3H1](=[OX1])[CX3;!H0,$([CX3][#6])]=[CX3])]","α, β-unsaturated aldehydes, amides, esters and ketones"
"[$([CX4]([OX2])([OX2])([#6,#7,#8])[CX3;!H0,$([CX3][#6])]=[CX3]([!a])([!a])),$([CX4H1]([OX2])([OX2])[CX3;!H0,$([CX3][#6])]=[CX3])]","precursors of α, β-unsaturated aldehydes, amides, esters and ketones (1)"
"[$([CX3]([#6,#7,#8;!$([OH])])(=[OX1])[CX4H2,$([CX4H1][#6])][CX4]([!a])([!a])([$([OX2][Sv6X4](=[OX1])(=[OX1])[OH]),$([OX2][Sv6X4](=[OX1])(=[OX1])[OX2][CH3]),$([OX2][Sv6X4](=[OX1])(=[OX1])[CH3]),$([OX2][Sv6X4](=[OX1])(=[OX1])[CF3]),$([OX2][Sv6X4](=[OX1])(=[OX1])c1ccc([CH3])cc1),I,Br,Cl])),$([CX3H1](=[OX1])[CX4H2,$([CX4H1][#6])][CX4]([$([OX2][Sv6X4](=[OX1])(=[OX1])[OH]),$([OX2][Sv6X4](=[OX1])(=[OX1])[OX2][CH3]),$([OX2][Sv6X4](=[OX1])(=[OX1])[CH3]),$([OX2][Sv6X4](=[OX1])(=[OX1])[CF3]),$([OX2][Sv6X4](=[OX1])(=[OX1])c1ccc([CH3])cc1),I,Br,Cl]))]","precursors of α, β-unsaturated aldehydes, amides, esters and ketones (2)"
"[CX4,a!r0][CX3](=[OX1])[CH2][CX3](=[OX1])[CX4,a!r0]","1,3-diketones"
"[CX3;!H0,$([CX3][CX4,a!r0])]([H])(=[OX1])",aldehydes
"[CX4,a!r0][CX3](=[OX1])[CX4,a!r0]",ketones
"[$([NX3][CH2][NX3]),$([NX3][CH2][OX2]),$([CX4]([F,Cl,Br,I])([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])[CH2][OH1])]",formaldehyde donors
"[CX4]([OX2])([OX2])([CX4,a!r0])[CX4,a!r0]",precursors of aldehydes and ketones
"[CX3]=[CX3;!H0,$([CX3][#6])][OX2]",enol precursor of aldehydes and ketones
"[a!r0][$([NX3H2]),$([NX3H1][CX4,a!r0])]",aromatic primary and secondary amines
"[CX3](=[OX1])[NX3]([Cl,Br])[CX3](=[OX1])",n-haloimides
[Sv6X4](=[OX1])(=[OX1])[NX3H1]Cl,n-chloro-sulfonamides
"[CX4,a!r0][SX2][SX2][CX4,a!r0]",disullides
"c1ccccc1[OX2][CX3](=[OX1])[OX2][CX4,a!r0]",phenyl carbonates
[CX4]1[CX4][OX2]1,epoxides
"[CX4,a!r0][CX3](=[OX1])[CX3;!H0,$([CX3][CX4,a!r0])](=[OX1])",1.2-dicarbonyls
"[$([SX2]1[CX3]([CX4,a!r0])=[CX3]([CX4,a!r0])[CX3](=[OX1])[NX3]1([CX4,a!r0])),$([sX2]1[cX3]([CX4,a!r0])[cX3]([CX4,a!r0])[cX3](=[OX1])[nX3]1([CX4,a!r0]))]",thiazolones
"[CX4,a!r0][NX3H1][CX4][CX4][NX3H1][CX4,a!r0]","1, 2-diamines"
"[$([a!r0][NX2]=[NX2]c1c([$([NH2]),$([NX3H1][CX4]),$([NX3]([CX4])[CX4]),$([NX3H1][CX3](=[OX1])[CH3]),$([NX3H1][CX3](=[OX1])[CX4]),$([OH]),$([O-]),$([OX2][CX4]),$([CH3]),$([CH2][CH3]),$([CH]=[CH2])])cccc1),$([a!r0][NX2]=[NX2]c1ccc([$([NH2]),$([NX3H1][CX4]),$([NX3]([CX4])[CX4]),$([NX3H1][CX3](=[OX1])[CH3]),$([NX3H1][CX3](=[OX1])[CX4]),$([OH]),$([O-]),$([OX2][CX4]),$([CH3]),$([CH2][CH3]),$([CH]=[CH2])])cc1),$([a!r0][NX2]=[NX2]c1c([$([NH2]),$([NX3H1][CX4]),$([NX3]([CX4])[CX4]),$([NX3H1][CX3](=[OX1])[CH3]),$([NX3H1][CX3](=[OX1])[CX4]),$([OH]),$([O-]),$([OX2][CX4]),$([CH3]),$([CH2][CH3]),$([CH]=[CH2])])cc([$([NH2]),$([NX3H1][CX4]),$([NX3]([CX4])[CX4]),$([NX3H1][CX3](=[OX1])[CH3]),$([NX3H1][CX3](=[OX1])[CX4]),$([OH]),$([O-]),$([OX2][CX4]),$([CH3]),$([CH2][CH3]),$([CH]=[CH2])])cc1),$([a!r0][NX2]=[NX2]c1c([$([NH2]),$([NX3H1][CX4]),$([NX3]([CX4])[CX4]),$([NX3H1][CX3](=[OX1])[CH3]),$([NX3H1][CX3](=[OX1])[CX4]),$([OH]),$([O-]),$([OX2][CX4]),$([CH3]),$([CH2][CH3]),$([CH]=[CH2])])cc([$([NH2]),$([NX3H1][CX4]),$([NX3]([CX4])[CX4]),$([NX3H1][CX3](=[OX1])[CH3]),$([NX3H1][CX3](=[OX1])[CX4]),$([OH]),$([O-]),$([OX2][CX4]),$([CH3]),$([CH2][CH3]),$([CH]=[CH2])])cc1[$([NH2]),$([NX3H1][CX4]),$([NX3]([CX4])[CX4]),$([NX3H1][CX3](=[OX1])[CH3]),$([NX3H1][CX3](=[OX1])[CX4]),$([OH]),$([O-]),$([OX2][CX4]),$([CH3]),$([CH2][CH3]),$([CH]=[CH2])])]",amine precursor - aromatic azo compound
"[NX4+]([CX4,a!r0])([CX4,a!r0])([CX4,a!r0])[CX4,a!r0]",quaternary ammonium cation
"[$(n1c([F,Cl])ncnc1),$(n1c([F,Cl])ccnc1),$(n1c([F,Cl])nccc1)]",activated n-heterocycle halides
"[$([cR1]1[cR1][cR1][cR1][cR2]2[nR1][cR1]([F,Cl])[cR1]([$([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])]),$([CX3](=[OX1])[OX2;!H0,$([OX2][#6])]),$([Sv6X4](=[OX1])(=[OX1])[OH]),$([CX3;!H0,$([CX3][F,Cl,Br,I])]=[OX1]),$([CX2]#[NX1]),$([CX4]([F,Cl])([F,Cl])[F,Cl]),$([CH2][OH]),$([CH2][$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])]),$([CH2][F,Cl])])[cR1][cR2]12),$([cR1]1[cR1][cR1][cR1][cR2]2[nR1][cR1][cR1]([$([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])]),$([CX3](=[OX1])[OX2;!H0,$([OX2][#6])]),$([Sv6X4](=[OX1])(=[OX1])[OH]),$([CX3;!H0,$([CX3][F,Cl,Br,I])]=[OX1]),$([CX2]#[NX1]),$([CX4]([F,Cl])([F,Cl])[F,Cl]),$([CH2][OH]),$([CH2][$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])]),$([CH2][F,Cl])])[cR1]([F,Cl])[cR2]12),$([cR1]1[cR1][cR1][cR1][cR2]2[cR1]([F,Cl])[nR1][cR1][cR1]([$([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])]),$([CX3](=[OX1])[OX2;!H0,$([OX2][#6])]),$([Sv6X4](=[OX1])(=[OX1])[OH]),$([CX3;!H0,$([CX3][F,Cl,Br,I])]=[OX1]),$([CX2]#[NX1]),$([CX4]([F,Cl])([F,Cl])[F,Cl]),$([CH2][OH]),$([CH2][$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])]),$([CH2][F,Cl])])[cR2]12),$([cR1]1[cR1][cR1][cR1][cR2]2[cR1][nR1][cR1]([F,Cl])[cR1]([$([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])]),$([CX3](=[OX1])[OX2;!H0,$([OX2][#6])]),$([Sv6X4](=[OX1])(=[OX1])[OH]),$([CX3;!H0,$([CX3][F,Cl,Br,I])]=[OX1]),$([CX2]#[NX1]),$([CX4]([F,Cl])([F,Cl])[F,Cl]),$([CH2][OH]),$([CH2][$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])]),$([CH2][F,Cl])])[cR2]12),$([nR1]1[cR1]([F,Cl])[cR1]([$([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])]),$([CX3](=[OX1])[OX2;!H0,$([OX2][#6])]),$([Sv6X4](=[OX1])(=[OX1])[OH]),$([CX3;!H0,$([CX3][F,Cl,Br,I])]=[OX1]),$([CX2]#[NX1]),$([CX4]([F,Cl])([F,Cl])[F,Cl]),$([CH2][OH]),$([CH2][$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])]),$([CH2][F,Cl])])[cR1][cR1][cR1]1),$([nR1]1[cR1][cR1]([$([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])]),$([CX3](=[OX1])[OX2;!H0,$([OX2][#6])]),$([Sv6X4](=[OX1])(=[OX1])[OH]),$([CX3;!H0,$([CX3][F,Cl,Br,I])]=[OX1]),$([CX2]#[NX1]),$([CX4]([F,Cl])([F,Cl])[F,Cl]),$([CH2][OH]),$([CH2][$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])]),$([CH2][F,Cl])])[cR1]([F,Cl])[cR1][cR1]1),$([nR1]1[cR1]([F,Cl])[cR1][cR1][cR1]([$([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])]),$([CX3](=[OX1])[OX2;!H0,$([OX2][#6])]),$([Sv6X4](=[OX1])(=[OX1])[OH]),$([CX3;!H0,$([CX3][F,Cl,Br,I])]=[OX1]),$([CX2]#[NX1]),$([CX4]([F,Cl])([F,Cl])[F,Cl]),$([CH2][OH]),$([CH2][$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])]),$([CH2][F,Cl])])[cR1]1),$([nR1]1[cR1][cR1][cR1]([F,Cl])[cR1]([$([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])]),$([CX3](=[OX1])[OX2;!H0,$([OX2][#6])]),$([Sv6X4](=[OX1])(=[OX1])[OH]),$([CX3;!H0,$([CX3][F,Cl,Br,I])]=[OX1]),$([CX2]#[NX1]),$([CX4]([F,Cl])([F,Cl])[F,Cl]),$([CH2][OH]),$([CH2][$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])]),$([CH2][F,Cl])])[cR1]1)]","activated halo-pyridines, quinolines, and isoquinolines"
"[$([NX3H2][NX3;!H0!H1,$([!H0][#6;!$([CX3;!H0,$([CX3][#6])])]),$(*([#6;!$([CX3;!H0,$([CX3][#6])])])([#6;!$([CX3;!H0,$([CX3][#6])])]))]),$([NX4+;H3,$([NX4+;H2][#6;!$([CX3;!H0,$([CX3][#6])])])][NX3;!H0!H1,$([!H0][#6;!$([CX3;!H0,$([CX3][#6])])]),$(*([#6;!$([CX3;!H0,$([CX3][#6])])])([#6;!$([CX3;!H0,$([CX3][#6])])]))]),$([NX4H3+][NX4+;H3,$([NX4+;H2][#6;!$([CX3;!H0,$([CX3][#6])])])]),$([NX3!R;!H0!H1,$([!H0][#6!R;!$([CX3;!H0,$([CX3][#6])])]),$(*([#6!R;!$([CX3;!H0,$([CX3][#6])])])([#6!R;!$([CX3;!H0,$([CX3][#6])])]))][NX2!R]=[CX3!R]([*!R])([*!R])),$([NX3!R;!H0!H1,$([!H0][#6!R;!$([CX3;!H0,$([CX3][#6])])]),$(*([#6!R;!$([CX3;!H0,$([CX3][#6])])])([#6!R;!$([CX3;!H0,$([CX3][#6])])]))][NX3+!R]=[CX3!R]([*!R])([*!R]))]","hydrazines, hydrazonium salts and precursors"
"[F,Cl,Br][CX3;!H0,$([CX3][*&!$([OH1])&!$([SH1])])]=[OX1]",acid halides
"[CX3H2,$([CX3H1][#6])]=[OX1]",aldehydes
"[$([F,Cl][cR1]1[cR1]([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])[cR1][cR1]([F,Cl,$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-]),$([CX2]#[NX1]),$([CX3](=[OX1])([$([CH3]),$([CH2][CH3]),$([CH2][CH2][CH3]),$([CH]([CH3])[CH3]),$([CH2][CH2][CH2][CH3]),$([CH]([CH3])[CH2][CH3]),$([CH2][CH]([CH3])[CH3]),$([CH0]([CH3])([CH3])[CH3]),$([CH2][CH2][CH2][CH2][CH3]),$([CH]([CH3])[CH2][CH2][CH3]),$([CH2][CH]([CH3])[CH2][CH3]),$([CH2][CH2][CH]([CH3])[CH3]),$([CH]([CH2][CH3])[CH2][CH3]),$([CH]([CH3])[CH]([CH3])[CH3]),$([CH0]([CH3])([CH3])[CH2][CH3]),$([CH2][CH0]([CH3])([CH3])[CH3]),$([CH2][CH2][CH2][CH2][CH2]),$([CX4]1[CX4][CX4][CX4]1),$([CX4]1[CX4][CX4][CX4][CX4]1),$([CX4]1[CX4][CX4][CX4][CX4][CX4]1),$([CH2]c1ccccc1)])),$([CX3](=[OX1])[OX2][$([CH3]),$([CH2][CH3]),$([CH2][CH2][CH3]),$([CH]([CH3])[CH3]),$([CH2][CH2][CH2][CH3]),$([CH]([CH3])[CH2][CH3]),$([CH2][CH]([CH3])[CH3]),$([CH0]([CH3])([CH3])[CH3]),$([CH2][CH2][CH2][CH2][CH3]),$([CH]([CH3])[CH2][CH2][CH3]),$([CH2][CH]([CH3])[CH2][CH3]),$([CH2][CH2][CH]([CH3])[CH3]),$([CH]([CH2][CH3])[CH2][CH3]),$([CH]([CH3])[CH]([CH3])[CH3]),$([CH0]([CH3])([CH3])[CH2][CH3]),$([CH2][CH0]([CH3])([CH3])[CH3]),$([CH2][CH2][CH2][CH2][CH2]),$([CX4]1[CX4][CX4][CX4]1),$([CX4]1[CX4][CX4][CX4][CX4]1),$([CX4]1[CX4][CX4][CX4][CX4][CX4]1),$([CH2]c1ccccc1)])])[cR1][cR1]1),$([F,Cl][cR1]1[cR1]([F,Cl,$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-]),$([CX2]#[NX1]),$([CX3](=[OX1])([$([CH3]),$([CH2][CH3]),$([CH2][CH2][CH3]),$([CH]([CH3])[CH3]),$([CH2][CH2][CH2][CH3]),$([CH]([CH3])[CH2][CH3]),$([CH2][CH]([CH3])[CH3]),$([CH0]([CH3])([CH3])[CH3]),$([CH2][CH2][CH2][CH2][CH3]),$([CH]([CH3])[CH2][CH2][CH3]),$([CH2][CH]([CH3])[CH2][CH3]),$([CH2][CH2][CH]([CH3])[CH3]),$([CH]([CH2][CH3])[CH2][CH3]),$([CH]([CH3])[CH]([CH3])[CH3]),$([CH0]([CH3])([CH3])[CH2][CH3]),$([CH2][CH0]([CH3])([CH3])[CH3]),$([CH2][CH2][CH2][CH2][CH2]),$([CX4]1[CX4][CX4][CX4]1),$([CX4]1[CX4][CX4][CX4][CX4]1),$([CX4]1[CX4][CX4][CX4][CX4][CX4]1),$([CH2]c1ccccc1)])),$([CX3](=[OX1])[OX2][$([CH3]),$([CH2][CH3]),$([CH2][CH2][CH3]),$([CH]([CH3])[CH3]),$([CH2][CH2][CH2][CH3]),$([CH]([CH3])[CH2][CH3]),$([CH2][CH]([CH3])[CH3]),$([CH0]([CH3])([CH3])[CH3]),$([CH2][CH2][CH2][CH2][CH3]),$([CH]([CH3])[CH2][CH2][CH3]),$([CH2][CH]([CH3])[CH2][CH3]),$([CH2][CH2][CH]([CH3])[CH3]),$([CH]([CH2][CH3])[CH2][CH3]),$([CH]([CH3])[CH]([CH3])[CH3]),$([CH0]([CH3])([CH3])[CH2][CH3]),$([CH2][CH0]([CH3])([CH3])[CH3]),$([CH2][CH2][CH2][CH2][CH2]),$([CX4]1[CX4][CX4][CX4]1),$([CX4]1[CX4][CX4][CX4][CX4]1),$([CX4]1[CX4][CX4][CX4][CX4][CX4]1),$([CH2]c1ccccc1)])])[cR1][cR1]([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])[cR1][cR1]1)]",halonitrobenzenes
"[a!r0][Sv4X3](=[OX1])[$([OH]),$([O-])]",aromatic sulphuric acids and salts
"[$([CX3](=[OX1])[OX2][CX3](=[OX1])),$([CX3](=[OX1])[OX2][OX2][CX3](=[OX1]))]",acid anhydrides
"[NX2]=[CX2]=[OX1,SX1]",iso(thio)cyanates
